"","participant","condition","block","trial","stimulus","stimulus_type","choice","rt","correct"
"1","P1","2-back",1,1,"B","burn-in",,,
"2","P1","2-back",1,2,"H","burn-in",,,
"3","P1","2-back",1,3,"G","burn-in",,,
"4","P1","2-back",1,4,"H","target","target",814,TRUE
"5","P1","2-back",1,5,"Z","non-target","non-target",2300,TRUE
"6","P1","2-back",1,6,"H","target","target",972,TRUE
"7","P1","2-back",1,7,"W","non-target","non-target",1548,TRUE
"8","P1","2-back",1,8,"Q","non-target","non-target",948,TRUE
"9","P1","2-back",1,9,"V","non-target","non-target",1109,TRUE
"10","P1","2-back",1,10,"B","non-target","non-target",1901,TRUE
"11","P1","2-back",1,11,"V","target","target",948,TRUE
"12","P1","2-back",1,12,"B","target","target",2389,TRUE
"13","P1","2-back",1,13,"S","non-target","non-target",3292,TRUE
"14","P1","2-back",1,14,"B","target","target",1148,TRUE
"15","P1","2-back",1,15,"S","target","non-target",2364,FALSE
"16","P1","2-back",1,16,"P","non-target",,,FALSE
"17","P1","2-back",1,17,"J","non-target","non-target",1700,TRUE
"18","P1","2-back",1,18,"N","non-target","non-target",2668,TRUE
"19","P1","2-back",1,19,"J","target","target",1093,TRUE
"20","P1","2-back",1,20,"G","non-target","non-target",1380,TRUE
"21","P1","2-back",1,21,"M","non-target","non-target",1596,TRUE
"22","P1","2-back",1,22,"T","non-target","non-target",2548,TRUE
"23","P1","2-back",1,23,"K","non-target","non-target",1148,TRUE
"24","P1","2-back",1,24,"T","target","target",2372,TRUE
"25","P1","2-back",1,25,"Q","non-target","non-target",2868,TRUE
"26","P1","2-back",1,26,"T","target","target",948,TRUE
"27","P1","2-back",1,27,"Q","target","target",2332,TRUE
"28","P1","2-back",1,28,"D","non-target","non-target",1836,TRUE
"29","P1","2-back",1,29,"Y","non-target","non-target",1500,TRUE
"30","P1","2-back",1,30,"R","non-target","non-target",1292,TRUE
"31","P1","2-back",2,1,"V","burn-in",,,
"32","P1","2-back",2,2,"W","burn-in",,,
"33","P1","2-back",2,3,"L","burn-in","non-target",2795,TRUE
"34","P1","2-back",2,4,"Z","non-target","non-target",2035,TRUE
"35","P1","2-back",2,5,"F","non-target","non-target",875,TRUE
"36","P1","2-back",2,6,"Z","target","target",963,TRUE
"37","P1","2-back",2,7,"C","non-target","non-target",1691,TRUE
"38","P1","2-back",2,8,"H","non-target","non-target",1230,TRUE
"39","P1","2-back",2,9,"G","non-target","non-target",963,TRUE
"40","P1","2-back",2,10,"H","non-target","target",755,FALSE
"41","P1","2-back",2,11,"G","target","target",955,TRUE
"42","P1","2-back",2,12,"H","target","target",715,TRUE
"43","P1","2-back",2,13,"D","non-target","non-target",1317,TRUE
"44","P1","2-back",2,14,"H","target","target",1971,TRUE
"45","P1","2-back",2,15,"D","target","target",1027,TRUE
"46","P1","2-back",2,16,"C","non-target","non-target",987,TRUE
"47","P1","2-back",2,17,"Y","non-target","non-target",931,TRUE
"48","P1","2-back",2,18,"S","non-target","non-target",827,TRUE
"49","P1","2-back",2,19,"N","non-target","non-target",1507,TRUE
"50","P1","2-back",2,20,"F","non-target","non-target",795,TRUE
"51","P1","2-back",2,21,"Z","non-target","non-target",555,TRUE
"52","P1","2-back",2,22,"M","non-target","non-target",459,TRUE
"53","P1","2-back",2,23,"J","non-target","non-target",715,TRUE
"54","P1","2-back",2,24,"L","non-target","non-target",1051,TRUE
"55","P1","2-back",2,25,"J","target","target",2587,TRUE
"56","P1","2-back",2,26,"L","target","target",1459,TRUE
"57","P1","2-back",2,27,"J","target","target",555,TRUE
"58","P1","2-back",2,28,"L","target","target",829,TRUE
"59","P1","2-back",2,29,"J","target","target",667,TRUE
"60","P1","2-back",2,30,"P","non-target","non-target",1180,TRUE
"61","P1","2-back",3,1,"B","burn-in",,,
"62","P1","2-back",3,2,"Q","burn-in",,,
"63","P1","2-back",3,3,"R","burn-in","non-target",1191,TRUE
"64","P1","2-back",3,4,"T","non-target","non-target",1946,TRUE
"65","P1","2-back",3,5,"R","target","target",1183,TRUE
"66","P1","2-back",3,6,"W","non-target","non-target",783,TRUE
"67","P1","2-back",3,7,"V","non-target","non-target",1370,TRUE
"68","P1","2-back",3,8,"K","non-target","non-target",559,TRUE
"69","P1","2-back",3,9,"N","non-target","non-target",815,TRUE
"70","P1","2-back",3,10,"C","non-target","non-target",871,TRUE
"71","P1","2-back",3,11,"N","target","target",903,TRUE
"72","P1","2-back",3,12,"T","non-target","non-target",1255,TRUE
"73","P1","2-back",3,13,"P","non-target","non-target",959,TRUE
"74","P1","2-back",3,14,"S","non-target","non-target",1423,TRUE
"75","P1","2-back",3,15,"P","target","target",919,TRUE
"76","P1","2-back",3,16,"K","non-target","non-target",1375,TRUE
"77","P1","2-back",3,17,"D","non-target","non-target",1255,TRUE
"78","P1","2-back",3,18,"K","target","target",679,TRUE
"79","P1","2-back",3,19,"F","non-target","non-target",703,TRUE
"80","P1","2-back",3,20,"H","non-target","non-target",862,TRUE
"81","P1","2-back",3,21,"Z","non-target","non-target",766,TRUE
"82","P1","2-back",3,22,"H","target","target",694,TRUE
"83","P1","2-back",3,23,"Z","target","target",838,TRUE
"84","P1","2-back",3,24,"H","target","target",926,TRUE
"85","P1","2-back",3,25,"Z","target","target",1062,TRUE
