,participant,condition,block,trial,stimulus,stimulus_type,choice,rt,correct,N,n_targets,n_corrects,lure,n_recent_repetitions,n_recent_targets,n_recent_lures,n_recent_corrects,n_lures
1,P1,2-back,1,1,B,burn-in,,,False,2,10,25,False,,,,,0
2,P1,2-back,1,2,H,burn-in,,,False,2,10,25,False,,,,,0
3,P1,2-back,1,3,G,burn-in,,,False,2,10,25,False,,,,,0
4,P1,2-back,1,4,H,target,target,814.0,True,2,10,25,False,1.0,1.0,0.0,1.0,0
5,P1,2-back,1,5,Z,non-target,non-target,2300.0,True,2,10,25,False,1.0,1.0,0.0,2.0,0
6,P1,2-back,1,6,H,target,target,972.0,True,2,10,25,False,1.0,2.0,0.0,3.0,0
7,P1,2-back,1,7,W,non-target,non-target,1548.0,True,2,10,25,False,1.0,2.0,0.0,4.0,0
8,P1,2-back,1,8,Q,non-target,non-target,948.0,True,2,10,25,False,0.0,1.0,0.0,4.0,0
9,P1,2-back,1,9,V,non-target,non-target,1109.0,True,2,10,25,False,0.0,1.0,0.0,4.0,0
10,P1,2-back,1,10,B,non-target,non-target,1901.0,True,2,10,25,False,0.0,0.0,0.0,4.0,0
11,P1,2-back,1,11,V,target,target,948.0,True,2,10,25,False,1.0,1.0,0.0,4.0,0
12,P1,2-back,1,12,B,target,target,2389.0,True,2,10,25,False,2.0,2.0,0.0,4.0,0
13,P1,2-back,1,13,S,non-target,non-target,3292.0,True,2,10,25,False,1.0,2.0,0.0,4.0,0
14,P1,2-back,1,14,B,target,target,1148.0,True,2,10,25,False,1.0,3.0,0.0,4.0,0
15,P1,2-back,1,15,S,target,non-target,2364.0,False,2,10,25,False,2.0,3.0,0.0,3.0,0
16,P1,2-back,1,16,P,non-target,,,False,2,10,25,False,1.0,2.0,0.0,2.0,0
17,P1,2-back,1,17,J,non-target,non-target,1700.0,True,2,10,25,False,0.0,2.0,0.0,2.0,0
18,P1,2-back,1,18,N,non-target,non-target,2668.0,True,2,10,25,False,0.0,1.0,0.0,2.0,0
19,P1,2-back,1,19,J,target,target,1093.0,True,2,10,25,False,1.0,1.0,0.0,3.0,0
20,P1,2-back,1,20,G,non-target,non-target,1380.0,True,2,10,25,False,1.0,1.0,0.0,4.0,0
21,P1,2-back,1,21,M,non-target,non-target,1596.0,True,2,10,25,False,0.0,1.0,0.0,4.0,0
22,P1,2-back,1,22,T,non-target,non-target,2548.0,True,2,10,25,False,0.0,1.0,0.0,4.0,0
23,P1,2-back,1,23,K,non-target,non-target,1148.0,True,2,10,25,False,0.0,0.0,0.0,4.0,0
24,P1,2-back,1,24,T,target,target,2372.0,True,2,10,25,False,1.0,1.0,0.0,4.0,0
25,P1,2-back,1,25,Q,non-target,non-target,2868.0,True,2,10,25,False,1.0,1.0,0.0,4.0,0
26,P1,2-back,1,26,T,target,target,948.0,True,2,10,25,False,1.0,2.0,0.0,4.0,0
27,P1,2-back,1,27,Q,target,target,2332.0,True,2,10,25,False,2.0,3.0,0.0,4.0,0
28,P1,2-back,1,28,D,non-target,non-target,1836.0,True,2,10,25,False,1.0,2.0,0.0,4.0,0
29,P1,2-back,1,29,Y,non-target,non-target,1500.0,True,2,10,25,False,0.0,2.0,0.0,4.0,0
30,P1,2-back,1,30,R,non-target,non-target,1292.0,True,2,10,25,False,0.0,1.0,0.0,4.0,0
31,P1,2-back,2,1,V,burn-in,,,False,2,10,26,False,,,,,0
32,P1,2-back,2,2,W,burn-in,,,False,2,10,26,False,,,,,0
33,P1,2-back,2,3,L,burn-in,non-target,2795.0,False,2,10,26,False,,,,,0
